category,product,type,value
epp,Trellix,service,mfewc
epp,Trend Micro,pipe,iacagent_*
epp,Trend Micro,pipe,IPC_XBC_XBC_AGENT_PIPE_*
epp,Trend Micro,pipe,Log_ServerNamePipe
epp,Trend Micro,pipe,OIPC_LWCS_PIPE_*
epp,Trend Micro,pipe,OIPC_NTRTSCAN_PIPE_*
epp,Trend Micro,process,EndpointBasecamp.exe
epp,Trend Micro,process,LogServer.exe
epp,Trend Micro,process,Ntrtscan.exe
epp,Trend Micro,process,TMiACAgentSvc.exe
epp,Trend Micro,process,TmListen.exe
epp,Trend Micro,service,CETASvc
epp,Trend Micro,service,iVPAgent
epp,Trend Micro,service,TMBMServer
epp,Trend Micro,service,TMiACAgentSvc
epp,Trend Micro,service,Trend Micro Endpoint Basecamp
epp,Trend Micro,service,Trend Micro Web Service Communicator
epp,Webroot,service,WRCoreService
epp,Webroot,service,WRSkyClient
epp,Webroot,service,WRSVC
epp,Windows Defender,driver,mssecflt.sys
epp,Windows Defender,process,MpDefenderCoreService.exe
epp,Windows Defender,process,NisSrv.exe
epp,Windows Defender,process,,SenseCE.exe
epp,Windows Defender,process,,SenseCM.exe
epp,Windows Defender,process,,SenseIR.exe
epp,Windows Defender,process,,SenseNdr.exe
epp,Windows Defender,process,,SenseSampleUploader.exe
epp,Windows Defender,process,,SenseSC.exe
epp,Windows Defender,process,,SenseTVM.exe
epp,Windows Defender,service,Sense
epp,Windows Defender,service,WdNisSvc
epp,Windows Defender,service,WinDefend
hvt,OneLogin,service,OneLogin Active Directory Connector
hvt,Password Depot,service,PD_Service
hvt,Password Depot,service,PD_Service_15
hvt,Password Depot,service,PD_Service_16
hvt,Password Depot,service,PD_Service_17
hvt,Password Depot,service,PD_Service_18
hvt,Password Depot,service,PD_Service_19
hvt,Password Depot,service,PD_Service_20
hvt,Passwordstate,service,Passwordstate Service
hvt,PRTG,service,PRTGCoreService
hvt,PRTG,service,PRTGProbeService
mgmt,Baramundi Agent,service,BARAAGNT
mgmt,Intune Agent,service,IntuneManagementExtension
mgmt,Matrix42,process,Matrix42.Platform.Service.Host.exe
mgmt,Matrix42,service,Matrix42Maintenance
mgmt,Matrix42,service,Matrix42UAF
mgmt,PDQ Client,service,PDQInventoryRemoteCommand-1
mgmt,PDQ Client,service,PDQInventory-Scanner-1
mgmt,PDQ Server,service,PDQDeploy
mgmt,PDQ Server,service,PDQInventory
mgmt,SCCM Agent,service,CmRcService
mgmt,SCCM Agent,service,smstsmgr
misc,Azure Web Account Manager,service,TokenBroker
misc,Impacket PsExec,pipe,RemCom_*
misc,Microsoft DNS Server,service,DNS
misc,Microsoft Domain Controller,service,ADWS
misc,Microsoft Domain Controller,service,Kdc
misc,Microsoft Domain Controller,service,KdsSvc
misc,Microsoft Domain Controller,service,KPSSVC
misc,Microsoft Domain Controller,service,NTDS
misc,Microsoft File Server,service,Dfs
misc,Microsoft File Server,service,DFSR
misc,Microsoft OpenSSH Client,service,ssh-agent
misc,Microsoft OpenSSH Server,service,sshd
misc,QEMU,service,QEMU-GA
misc,QEMU,service,QEMU Guest Agent VSS Provider
misc,QEMU,service,spice-agent
misc,QEMU,service,vdservice
misc,Sysinternals PsExec,pipe,PSEXESVC
misc,Sysinternals PsExec,pipe,PSEXESVC-*-stderr
misc,Sysinternals PsExec,pipe,PSEXESVC-*-stdin
misc,Sysinternals PsExec,pipe,PSEXESVC-*-stdout
misc,Sysinternals PsExec,process,psexecsvc.exe
misc,SysMon,service,Sysmon
misc,SysMon,service,Sysmon64
